ab/grenzen "Vt (gegen/von) 确定界 线, 划分"
aus/grenzen "Vi 驱逐出境"
begrenzen "Vt 构成...边界; 约束, 限制"
begrenzt "Adj 受到限制的, 局限的"
Geschwindigkeitsbegrenzung "f 时速限制"
grenzen "Vi + an A 接近; 与...毗邻"
unbegrenzt "Adj 无边无际的, 无限制的, 无限的"
Zonengrenze "f, -n 地段边界"
